,symbol,company,event_name,date,call_time,eps_estimate,reported_eps,surprise
0,ALPP,Alpine 4 Holdings Inc,Q1 2024  Earnings Release,2025-03-10,AMC,,,
1,IAUX,I-80 Gold Corp,Q4 2024  Earnings Release,2025-03-10,AMC,,,
2,AGZNF,Aegean Airlines SA,Full Year 2024  Earnings Release,2025-03-10,AMC,,,
3,ASAN,Asana Inc,Q4 2025  Earnings Release,2025-03-10,AMC,,,
4,FUVV,Arcimoto Inc,Q2 2024  Earnings Release,2025-03-10,TAS,,,
5,ASPS,Altisource Portfolio Solutions SA,Q4 2024  Earnings Release,2025-03-10,BMO,-0.27,,
6,AACT-UN,Ares Acquisition Corporation II,Q4 2024  Earnings Release,2025-03-10,AMC,,,
7,ARGTF,Artemis Gold Inc,Q4 2024  Earnings Release,2025-03-10,AMC,,,
8,ANSNF,Anson Resources Ltd,Half Year 2025  Earnings Release,2025-03-10,TNS,,,
9,ARDNF,Argent Minerals Ltd,Half Year 2025  Earnings Release,2025-03-10,TNS,,,
10,BRT,BRT Apartments Corp,Q4 2024  Earnings Release,2025-03-10,TNS,-0.12,,
11,UELKY,Ulker Biskuvi Sanayi AS,Q4 2024  Earnings Release,2025-03-10,AMC,,,
12,ADLRF,Alaris Equity Partners Income Trust,Q4 2024  Earnings Release,2025-03-10,AMC,,,
13,AINPF,Ain Holdings Inc,Q3 2025 AIN Holdings Inc Earnings Release,2025-03-10,TAS,,,
14,RASP,Actavia Life Sciences Inc,Q4 2024  Earnings Release,2025-03-10,TNS,,,
15,AKOM,Aerkomm Inc,Q3 2024  Earnings Release,2025-03-10,AMC,,,
16,PAIOF,Paion AG,Q3 2024  Earnings Release,2025-03-10,TNS,,,
17,RDGA,Ridgefield Acquisition Corp,Q4 2024  Earnings Release,2025-03-10,BMO,,,
18,ACPIF,Acen Corp,Q4 2024  Earnings Release,2025-03-10,TNS,,,
19,AMTD,AMTD IDEA Group,Full Year 2024  Earnings Release,2025-03-10,TAS,,,
20,ASNFF,AsiaInfo Technologies Ltd,Full Year 2024  Earnings Release,2025-03-10,TNS,,,
21,ACRG,American Clean Resources Group Inc,Q2 2024  Earnings Release,2025-03-10,AMC,,,
22,ADXS,Ayala Pharmaceuticals Inc,Q3 2024  Earnings Release,2025-03-10,AMC,,,
23,AUVPQ,Applied UV Inc,Q2 2024  Earnings Release,2025-03-10,BMO,,,
24,ABHBY,Alfen Beheer BV,Full Year 2024  Earnings Release,2025-03-10,TNS,,,
25,ASTI,Ascent Solar Technologies Inc,Q4 2024  Earnings Release,2025-03-10,AMC,,,
26,MALJF,Magellan Aerospace Corp,Q4 2024  Earnings Release,2025-03-10,AMC,,,
27,ATVVF,Australian Vanadium Ltd,Half Year 2025  Earnings Release,2025-03-10,TNS,,,
28,ADCT,ADC Therapeutics SA,Q4 2024  Earnings Release,2025-03-10,BMO,-0.38,,
29,AUNA,Auna SA,Q4 2024  Earnings Release,2025-03-10,AMC,,,
30,ADAP,Adaptimmune Therapeutics PLC,Full Year 2024  Earnings Release,2025-03-10,AMC,,,
31,CAUD,Collective Audience Inc,Q3 2024  Earnings Release,2025-03-10,AMC,,,
32,BANX,Arrowmark Financial Corp,Q4 2024 ArrowMark Financial Corp Earnings Release,2025-03-10,AMC,,,
33,ARDS,Aridis Pharmaceuticals Inc,Q2 2024  Earnings Release,2025-03-10,AMC,,,
34,APLT,Applied Therapeutics Inc,Q4 2024  Earnings Release,2025-03-10,BMO,-0.15,,
35,AMTX,Aemetis Inc,Q4 2024  Earnings Release,2025-03-10,BMO,,,
36,ABBAF,abrdn Asian Income Fund Limited,Full Year 2024  Earnings Release,2025-03-10,TNS,,,
37,AZLAF,Arizona Lithium Ltd,Half Year 2025  Earnings Release,2025-03-10,TNS,,,
38,ALTHF,Altech Batteries Ltd,Half Year 2025  Earnings Release,2025-03-10,TNS,,,
39,ALGS,Aligos Therapeutics Inc,Q4 2024  Earnings Release,2025-03-10,BMO,-2.63,,
40,AURI,Auri Inc,Q4 2024  Earnings Release,2025-03-10,TNS,,,
41,FOBIF,Fobi AI Inc,Q4 2024  Earnings Release,2025-03-10,TNS,,,
42,DTMXD,Datametrex AI Ltd,Q4 2024  Earnings Release,2025-03-10,AMC,,,
43,AACT,Ares Acquisition Corporation II,Q4 2024  Earnings Release,2025-03-10,AMC,,,
44,AUVIQ,Applied UV Inc,Q2 2024  Earnings Release,2025-03-10,BMO,,,
45,ABUS,Arbutus Biopharma Corp,Q4 2024  Earnings Release,2025-03-10,TAS,-0.08,,
46,AJIA,Ajia Innogroup Holdings Ltd,Q2 2024  Earnings Release,2025-03-10,BMO,,,
47,PRST,Presto Automation Inc,Q4 2024  Earnings Release,2025-03-10,AMC,,,
48,AKRRF,Philly Shipyard ASA,Q4 2024  Earnings Release,2025-03-10,TNS,,,
49,BTAI,BioXcel Therapeutics Inc,Q4 2024  Earnings Release,2025-03-10,BMO,,,
50,CLSD,Clearside Biomedical Inc,Q4 2024  Earnings Release,2025-03-10,TNS,,,
51,FBKIF,First International Bank of Israel Ltd,Q4 2024  Earnings Release,2025-03-10,TAS,,,
52,LOAN,Manhattan Bridge Capital Inc,Q4 2024  Earnings Release,2025-03-10,BMO,0.12,,
53,MBIO,Mustang Bio Inc,Q4 2024  Earnings Release,2025-03-10,TNS,-0.16,,
54,BMBZF,BLOM Bank SAL,Q4 2024  Earnings Release,2025-03-10,TNS,,,
55,SQZB,SQZ Biotechnologies Co,Q3 2024  Earnings Release,2025-03-10,TNS,,,
56,HBIA,Hills Bancorp,Q4 2024  Earnings Release,2025-03-10,AMC,,,
57,ISDAF,Israel Discount Bank Ltd,Q4 2024  Earnings Release,2025-03-10,TNS,,,
58,NX,Quanex Building Products Corp,Q1 2025  Earnings Release,2025-03-10,AMC,,,
59,NAVB,Navidea Biopharmaceuticals Inc,Q2 2024  Earnings Release,2025-03-10,AMC,,,
60,GBIO,Generation Bio Co,Q4 2024  Earnings Release,2025-03-10,TNS,-0.31,,
61,STBI,Sturgis Bancorp Inc,Q4 2024  Earnings Release,2025-03-10,TNS,,,
62,BHLL,Bunker Hill Mining Corp,Q4 2024  Earnings Release,2025-03-10,AMC,,,
63,BRID,Bridgford Foods Corp,Q1 2025  Earnings Release,2025-03-10,AMC,,,
64,GRTSQ,Gritstone bio Inc,Q4 2024  Earnings Release,2025-03-10,TNS,,,
65,SANA,Sana Biotechnology Inc,Q4 2024  Earnings Release,2025-03-10,TNS,-0.22,,
66,NWBO,Northwest Biotherapeutics Inc,Q4 2024  Earnings Release,2025-03-10,AMC,,,
